accx,accy,accz,gyrx,gyry,gyrz,anglex,angley,anglez,magx,magy,magz
-0.1030000000,0.0240000000,-0.9990000000,-0.0017453293,0.0000000000,-0.0017453293,0.1031489588,3.1166344453,2.3160519174,-423,208,236
-0.1030000000,0.0240000000,-0.9990000000,0.0000000000,-0.0017453293,-0.0017453293,0.1031489588,3.1166344453,2.3160519174,-416,211,235
-0.1040000000,0.0240000000,-0.9980000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-418,210,235
-0.1040000000,0.0230000000,-0.9990000000,0.0017453293,0.0034906585,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-419,209,238
-0.1040000000,0.0230000000,-0.9990000000,0.0000000000,0.0017453293,0.0017453293,0.1031489588,3.1166344453,2.3160519174,-420,213,235
-0.1040000000,0.0230000000,-0.9990000000,0.0000000000,0.0000000000,0.0017453293,0.1031489588,3.1166344453,2.3160519174,-424,211,235
-0.1040000000,0.0240000000,-0.9980000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-420,212,235
-0.1040000000,0.0240000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-422,213,234
-0.1040000000,0.0240000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-418,211,239
-0.1030000000,0.0240000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-419,208,239
-0.1030000000,0.0240000000,-0.9990000000,0.0000000000,-0.0017453293,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-415,209,241
-0.1040000000,0.0240000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-423,213,242
-0.1040000000,0.0240000000,-0.9980000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-421,211,243
-0.1030000000,0.0230000000,-0.9980000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-421,208,237
-0.1040000000,0.0240000000,-0.9980000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-421,206,236
-0.1040000000,0.0240000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-419,209,236
-0.1030000000,0.0250000000,-1.0000000000,0.0017453293,0.0017453293,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-420,210,234
-0.1030000000,0.0250000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-418,209,237
-0.1030000000,0.0250000000,-1.0000000000,0.0000000000,-0.0017453293,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-419,210,237
