accx,accy,accz,gyrx,gyry,gyrz,anglex,angley,anglez,magx,magy,magz
-0.0990000000,0.0250000000,-0.9990000000,-0.0017453293,-0.0017453293,0.0000000000,0.0989601686,3.1166344453,2.3230332344,-418,211,240
-0.0990000000,0.0250000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.0989601686,3.1166344453,2.3230332344,-418,209,237
-0.0990000000,0.0240000000,-0.9990000000,-0.0017453293,0.0000000000,0.0000000000,0.0989601686,3.1166344453,2.3230332344,-423,210,238
-0.0990000000,0.0240000000,-1.0000000000,0.0000000000,0.0000000000,-0.0017453293,0.0989601686,3.1166344453,2.3230332344,-419,209,234
-0.0990000000,0.0250000000,-1.0000000000,0.0000000000,0.0000000000,-0.0017453293,0.0989601686,3.1166344453,2.3230332344,-422,211,240
-0.0990000000,0.0250000000,-1.0000000000,-0.0017453293,-0.0017453293,0.0017453293,0.0989601686,3.1166344453,2.3230332344,-419,210,237
-0.1000000000,0.0240000000,-1.0000000000,-0.0017453293,0.0000000000,0.0017453293,0.0989601686,3.1166344453,2.3230332344,-419,209,237
-0.1000000000,0.0240000000,-1.0010000000,0.0000000000,0.0000000000,0.0000000000,0.0989601686,3.1166344453,2.3230332344,-420,211,236
-0.1000000000,0.0240000000,-1.0010000000,0.0000000000,-0.0017453293,0.0000000000,0.0989601686,3.1166344453,2.3230332344,-421,210,238
-0.0990000000,0.0240000000,-1.0010000000,0.0000000000,-0.0017453293,0.0000000000,0.0989601686,3.1166344453,2.3230332344,-424,212,238
-0.0990000000,0.0240000000,-1.0010000000,0.0017453293,0.0000000000,0.0000000000,0.0989601686,3.1166344453,2.3230332344,-424,212,238
-0.0990000000,0.0230000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0989601686,3.1166344453,2.3230332344,-421,208,238
-0.0990000000,0.0230000000,-0.9990000000,-0.0034906585,0.0000000000,0.0000000000,0.0989601686,3.1166344453,2.3230332344,-422,209,242
-0.0980000000,0.0240000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.0989601686,3.1166344453,2.3230332344,-419,208,239
-0.0980000000,0.0240000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.0989601686,3.1166344453,2.3230332344,-421,212,238
-0.0990000000,0.0240000000,-0.9990000000,0.0000000000,-0.0017453293,-0.0017453293,0.0989601686,3.1166344453,2.3230332344,-423,210,235
